chromosome	prom_start	prom_end	lfc	promoter_ids
3	108145651	108147137	0.052545700777620004	ENSMUSG00000000001
X	77853128	77854614	-0.0027505793246434093	ENSMUSG00000000003
16	18811096	18812978	-0.11253213058415	ENSMUSG00000000028
7	142576415	142579134	0.5280734401644119	ENSMUSG00000000031
X	161161759	161163555	-0.4745464249538652	ENSMUSG00000000037
11	108342363	108343849	-0.0027505793246434093	ENSMUSG00000000049
11	121236262	121237748	0.11918903026934713	ENSMUSG00000000056
6	17280194	17281854	-0.0027505793246434093	ENSMUSG00000000058
13	5860491	5862036	0.1465176669597399	ENSMUSG00000000078
13	5863687	5865173	0.1465176669597399	ENSMUSG00000000078_1
4	120404290	120405923	-0.05868281281017795	ENSMUSG00000000085
4	120516635	120518174	-0.05868281281017795	ENSMUSG00000000085_1
9	57520283	57521828	0.022745733600550544	ENSMUSG00000000088
11	85831560	85833046	-0.015695605081004996	ENSMUSG00000000093
11	85885431	85886917	-0.1433421081477439	ENSMUSG00000000094
11	85889072	85890558	-0.1433421081477439	ENSMUSG00000000094_1
Y	2149851	2151337	-0.5741300756007482	ENSMUSG00000000103
11	95587240	95588726	-0.05079779244336025	ENSMUSG00000000120
11	103773159	103774645	-0.032190963741817916	ENSMUSG00000000125
11	59305937	59307425	-0.014104709253888015	ENSMUSG00000000126
17	63862071	63864510	0.13211334725812107	ENSMUSG00000000127
17	63936981	63938467	0.13211334725812107	ENSMUSG00000000127_1
7	126199433	126201492	-0.032953482245879684	ENSMUSG00000000131
X	7761569	7765147	0.01799992543167006	ENSMUSG00000000134
11	108919358	108922143	-0.21076394359360995	ENSMUSG00000000142
11	108922190	108923676	-0.21076394359360995	ENSMUSG00000000142_1
5	140704020	140705561	0.11567644717392402	ENSMUSG00000000148
5	140829662	140831422	0.04266309862122997	ENSMUSG00000000149
7	143472745	143475596	-0.13204593882330085	ENSMUSG00000000154
16	96443124	96444610	-0.00666793963986229	ENSMUSG00000000157
16	96360677	96362289	-0.2475883487503696	ENSMUSG00000000159
9	50616330	50618502	0.20909715274918092	ENSMUSG00000000167
9	50645694	50648619	-0.03421031126960994	ENSMUSG00000000168
9	50659285	50660771	-0.03421031126960994	ENSMUSG00000000168_1
