chromosome	prom_start	prom_end	lfc	promoter_ids
chr3	108145651	108147137	0.05254570077762	ENSMUSG00000000001
chrX	77853128	77854614	-0.002750579324643409	ENSMUSG00000000003
chr16	18811096	18812978	-0.11253213058415	ENSMUSG00000000028
chr7	142576415	142579134	0.5280734401644119	ENSMUSG00000000031
chrX	161161759	161163555	-0.4745464249538652	ENSMUSG00000000037
chr11	108342363	108343849	-0.002750579324643409	ENSMUSG00000000049
chr11	121236262	121237748	0.11918903026934713	ENSMUSG00000000056
chr6	17280194	17281854	-0.002750579324643409	ENSMUSG00000000058
chr13	5860491	5862036	0.1465176669597399	ENSMUSG00000000078
chr13	5863687	5865173	0.1465176669597399	ENSMUSG00000000078_1
chr4	120404290	120405923	-0.05868281281017795	ENSMUSG00000000085
chr4	120516635	120518174	-0.05868281281017795	ENSMUSG00000000085_1
chr9	57520283	57521828	0.022745733600550544	ENSMUSG00000000088
chr11	85831560	85833046	-0.015695605081004996	ENSMUSG00000000093
chr11	85885431	85886917	-0.1433421081477439	ENSMUSG00000000094
chr11	85889072	85890558	-0.1433421081477439	ENSMUSG00000000094_1
chrY	2149851	2151337	-0.5741300756007482	ENSMUSG00000000103
chr11	95587240	95588726	-0.05079779244336025	ENSMUSG00000000120
chr11	103773159	103774645	-0.032190963741817916	ENSMUSG00000000125
chr11	59305937	59307425	-0.014104709253888015	ENSMUSG00000000126
chr17	63862071	63864510	0.13211334725812107	ENSMUSG00000000127
chr17	63936981	63938467	0.13211334725812107	ENSMUSG00000000127_1
chr7	126199433	126201492	-0.032953482245879684	ENSMUSG00000000131
chrX	7761569	7765147	0.01799992543167006	ENSMUSG00000000134
chr11	108919358	108922143	-0.21076394359360995	ENSMUSG00000000142
chr11	108922190	108923676	-0.21076394359360995	ENSMUSG00000000142_1
chr5	140704020	140705561	0.11567644717392403	ENSMUSG00000000148
chr5	140829662	140831422	0.04266309862122997	ENSMUSG00000000149
chr7	143472745	143475596	-0.13204593882330085	ENSMUSG00000000154
chr16	96443124	96444610	-0.00666793963986229	ENSMUSG00000000157
chr16	96360677	96362289	-0.2475883487503696	ENSMUSG00000000159
chr9	50616330	50618502	0.20909715274918086	ENSMUSG00000000167
chr9	50645694	50648619	-0.03421031126960994	ENSMUSG00000000168
chr9	50659285	50660771	-0.03421031126960994	ENSMUSG00000000168_1
chr9	50603317	50604803	0.0019404063392705066	ENSMUSG00000000171
chr6	127071911	127073397	0.029487390692555706	ENSMUSG00000000182
chr6	127014595	127016081	-0.002750579324643409	ENSMUSG00000000183
chr6	127150466	127153184	-0.01594383304736	ENSMUSG00000000184
chr2	31151325	31152846	-0.16755610827607015	ENSMUSG00000000194
chr14	123626381	123628135	0.0057398649692084035	ENSMUSG00000000197
chr11	114795378	114796936	-0.0985850412563427	ENSMUSG00000000202
chr11	83174195	83175681	-0.15092229703907115	ENSMUSG00000000204
chr7	142899519	142901005	-0.19991907260640768	ENSMUSG00000000214
chr7	142679190	142680676	-0.002750579324643409	ENSMUSG00000000215
chr7	121733488	121734974	-0.002750579324643409	ENSMUSG00000000216
chrX	134403560	134405297	-0.058365042421408	ENSMUSG00000000223
chr7	143004055	143006423	-0.2284567530498401	ENSMUSG00000000244
chr7	143016418	143017904	-0.2284567530498401	ENSMUSG00000000244_1
chr2	38338290	38339983	0.08287026448115398	ENSMUSG00000000247
chr2	38340101	38341587	0.08287026448115398	ENSMUSG00000000247_1
chr2	38349768	38353027	0.08287026448115398	ENSMUSG00000000247_2
chr6	128933390	128934876	-0.02457246341831659	ENSMUSG00000000248
chr13	45506453	45507939	-0.02798197968464012	ENSMUSG00000000253
chr13	45537818	45539304	-0.02798197968464012	ENSMUSG00000000253_1
chr11	55607238	55609189	-0.0097474350965569	ENSMUSG00000000263
chrX	140663608	140665567	-0.04446564944374	ENSMUSG00000000266
chr11	88998385	88999871	0.045684754840320085	ENSMUSG00000000275
chr11	89060253	89061739	-0.01947726276501327	ENSMUSG00000000276
chr11	89066355	89067841	-0.01947726276501327	ENSMUSG00000000276_1
chr11	88954970	88956456	-0.045813198138359816	ENSMUSG00000000278
chr11	74829929	74831415	0.12795067054015985	ENSMUSG00000000282
chr11	74836477	74837963	0.12795067054015985	ENSMUSG00000000282_1
chr10	77529261	77530747	-0.0350806366487025	ENSMUSG00000000290
chr10	31312392	31313967	-0.17218531946717985	ENSMUSG00000000295
chr10	31445302	31446949	-0.053136324842560034	ENSMUSG00000000296
chr11	60045982	60047480	-0.2539902761514349	ENSMUSG00000000301
chr8	106602360	106604638	-0.07365288857286023	ENSMUSG00000000303
chr2	179441440	179443117	0.08412641762774606	ENSMUSG00000000305
chr2	179443242	179444728	0.08412641762774606	ENSMUSG00000000305_1
chr2	121356723	121359339	-0.16698384844278014	ENSMUSG00000000308
chr11	70229182	70230789	-0.003042081417457904	ENSMUSG00000000317
chr11	70155206	70156692	-0.2808771354118029	ENSMUSG00000000318
chr11	70254846	70256344	-0.19601496275572305	ENSMUSG00000000320
chr16	18347191	18348769	0.2282756978144597	ENSMUSG00000000325
chr16	18391592	18393149	0.2282756978144597	ENSMUSG00000000325_1
chr16	18426109	18427843	0.02785088178264017	ENSMUSG00000000326
chr3	116507529	116509199	-0.024863745563779904	ENSMUSG00000000339
chr3	116512079	116513623	-0.09503183407472003	ENSMUSG00000000340
chr3	116519337	116520823	-0.09503183407472003	ENSMUSG00000000340_1
chr15	100614358	100616827	-0.006904552545070164	ENSMUSG00000000346
chrX	38599587	38601794	0.09162930592710006	ENSMUSG00000000355
chr2	152625960	152627448	-0.002750579324643409	ENSMUSG00000000359
chr14	56401590	56403195	-0.2549226537159401	ENSMUSG00000000365
chr10	78244127	78245632	0.06017299930378395	ENSMUSG00000000374
chr11	6545896	6547405	0.022564355425610083	ENSMUSG00000000378
chr11	6559192	6560678	0.022564355425610083	ENSMUSG00000000378_1
chr11	6592057	6593543	0.022564355425610083	ENSMUSG00000000378_2
chr11	6636971	6638457	-0.002750579324643409	ENSMUSG00000000381
chr11	6620570	6622242	-0.03926031674309026	ENSMUSG00000000384
chr11	6624964	6627058	-0.03926031674309026	ENSMUSG00000000384_1
chr16	97610474	97612186	0.0371314313830326	ENSMUSG00000000385
chr16	97462412	97463898	-0.183898215732601	ENSMUSG00000000386
chr2	62573580	62575066	0.0254984194274087	ENSMUSG00000000392
chr2	62483155	62484641	-0.002750579324643409	ENSMUSG00000000394
chr6	126848630	126850127	-0.07019217226575991	ENSMUSG00000000399
chrX	166585225	166586711	-0.18043015476947505	ENSMUSG00000000402
chr4	129555353	129557450	-0.07869279636366988	ENSMUSG00000000409
chr4	129490527	129492013	-0.0112120523792222	ENSMUSG00000000411
chr6	18512596	18514082	0.07130974990415984	ENSMUSG00000000416
chr6	18514254	18515834	0.07130974990415984	ENSMUSG00000000416_1
chr18	24204353	24206454	0.022027112348829814	ENSMUSG00000000420
chr10	107485639	107487125	-0.002750579324643409	ENSMUSG00000000435
chr6	115600911	115602456	0.032361598344669895	ENSMUSG00000000439
chr6	115359960	115362845	-0.00874622852534242	ENSMUSG00000000440
chr6	115675469	115677626	-0.05785472523621005	ENSMUSG00000000441
chr7	127214630	127216116	-0.028709040328239517	ENSMUSG00000000486
chr7	127216544	127219489	-0.028709040328239517	ENSMUSG00000000486_1
chr7	127232151	127234121	-0.028709040328239517	ENSMUSG00000000486_2
chr15	80012708	80014194	0.032979607640335085	ENSMUSG00000000489
chr15	80014313	80015968	0.032979607640335085	ENSMUSG00000000489_1
chr15	101127531	101129419	-0.2678009947549914	ENSMUSG00000000530
chr15	101133142	101134628	-0.2678009947549914	ENSMUSG00000000530_1
chr15	101134666	101136152	-0.2678009947549914	ENSMUSG00000000530_2
chr15	101223197	101224683	0.12788323606087015	ENSMUSG00000000531
chr15	101173076	101174562	0.016398112456170292	ENSMUSG00000000532
chr11	60352410	60353896	0.07607715294818508	ENSMUSG00000000538
chr1	166129247	166130962	0.2423075558885297	ENSMUSG00000000544
chr15	103323015	103324501	-0.3171417876561202	ENSMUSG00000000552
chr15	103339598	103341084	-0.3171417876561202	ENSMUSG00000000552_1
chr15	103366253	103367754	-0.27446769079996003	ENSMUSG00000000555
chr5	71094145	71096840	-0.002750579324643409	ENSMUSG00000000560
chr3	105958378	105960009	0.0006233420246495314	ENSMUSG00000000561
chr3	105960631	105962117	0.0006233420246495314	ENSMUSG00000000561_1
chr3	105869867	105871353	-0.029138847765870002	ENSMUSG00000000562
chr3	105958751	105961090	-0.1004642067434296	ENSMUSG00000000563
chr11	112781233	112782719	-0.01788302419128032	ENSMUSG00000000567
chr5	99976056	99977542	-0.005584719778530367	ENSMUSG00000000568
chr5	99978129	99979929	-0.005584719778530367	ENSMUSG00000000568_1
chr17	6600680	6602299	0.07278581210006019	ENSMUSG00000000579
chr11	17256588	17258183	0.1120359463270202	ENSMUSG00000000581
chr11	55097124	55098610	-0.0041679192239099105	ENSMUSG00000000594
chr5	3802193	3805788	0.05162731877362714	ENSMUSG00000000600
chr7	7298251	7301842	-0.02904579973383004	ENSMUSG00000000605
chr14	51409829	51411315	-0.06306210194580197	ENSMUSG00000000606
chr11	50849694	50851481	-0.02008012392497728	ENSMUSG00000000617
chr6	82917091	82918577	-0.004478776896010062	ENSMUSG00000000627
chr6	82939050	82940760	-0.004478776896010062	ENSMUSG00000000627_1
chr6	82725814	82727300	0.0006386303299901197	ENSMUSG00000000628
chr6	82772493	82775445	0.0006386303299901197	ENSMUSG00000000628_1
chr11	77762255	77763796	-0.10700432281616012	ENSMUSG00000000631
chr11	77764612	77767231	-0.10700432281616012	ENSMUSG00000000631_1
chr11	77852873	77854359	-0.10700432281616012	ENSMUSG00000000631_2
chr11	77929809	77931534	-0.02108858048810519	ENSMUSG00000000632
chr11	77950314	77951800	-0.02108858048810519	ENSMUSG00000000632_1
chr11	77952862	77954348	-0.02108858048810519	ENSMUSG00000000632_2
chr17	83846254	83847803	-0.2355289176153551	ENSMUSG00000000673
chr4	134094546	134096032	0.03434118622770198	ENSMUSG00000000682
chr11	77514130	77516479	0.007993071485028501	ENSMUSG00000000686
chr11	96298180	96299666	-0.00827225840599511	ENSMUSG00000000690
chr6	83033182	83034668	-0.13416420529106698	ENSMUSG00000000693
chr12	105175353	105176839	0.008442823357685161	ENSMUSG00000000701
chr13	23464914	23466892	0.026869714639206704	ENSMUSG00000000706
chr17	53565870	53567466	0.024675949742539727	ENSMUSG00000000708
